model,sgx,max_depth,MiB,num_features,num_rows,train_time,cpu_time
dt,1,3,234,28,1100000,10914615000,123.764
dt,0,3,234,28,1100000,8271706017,60.282
dt,1,3,469,28,2200000,22951334000,136.026
dt,0,3,469,28,2200000,16352458188,68.413
dt,1,3,704,28,3300000,38937534000,151.353
dt,0,3,704,28,3300000,25111688961,77.604
dt,1,3,939,28,4400000,55678165000,167.866
dt,0,3,939,28,4400000,33180493568,85.839
dt,1,3,1174,28,5500000,73613295000,186.608
dt,0,3,1174,28,5500000,41830105145,94.468
dt,1,3,1409,28,6600000,93320007000,205.794
dt,0,3,1409,28,6600000,50242591701,102.842
dt,1,3,1644,28,7699999,113417233000,228.031
dt,0,3,1644,28,7699999,58569724585,111.395
dt,1,3,1879,28,8800000,133727121000,246.923
dt,0,3,1879,28,8800000,66651086165,119.47
dt,1,3,2114,28,9900000,154535586000,269.033
dt,0,3,2114,28,9900000,76221451436,129.077
