epochs,num_clients,batch_size,sgx,ssl,params,median,mean,max,min,train_test_time,fl_time
10,2,32,0,1,62006,0.5150676064658919,0.5119158558857944,0.5615940983407199,0.4681201404891908,13.782153841340914,14.294069697226709
10,2,32,1,1,62006,2.3410175254102796,2.342550168124338,2.4356043166480976,2.2447762391529977,13.61951989781422,15.962070065938557
10,4,32,0,1,62006,0.8245924862567335,0.8633892015786842,1.288811192382127,0.5617170175537467,13.935423168198517,14.7988123697772
10,4,32,1,1,62006,3.8603525406215304,3.8545996132306755,4.094410884194076,3.629753369372338,14.222204850559743,18.07680446379042
10,8,32,0,1,62006,0.9546685731038451,0.948018135910388,1.0467714895494282,0.825687706936149,14.706168225015668,15.654186360926056
10,8,32,1,1,62006,7.016011354047805,6.748705778814233,7.232718292623758,6.004586130846295,15.201711452682503,21.950417231496733
10,16,32,0,1,62006,1.2991067436523736,1.2904606621110968,1.3663679487071931,1.1993938451632857,16.4078055206337,17.6982661827448
10,16,32,1,1,62006,14.148919995175676,14.489862523061069,16.213442128617316,13.139149233233184,16.68400493070173,31.173867453762796
10,31,32,0,1,62006,2.2547319130972028,2.226678003356742,2.576246036682278,1.8801312232390046,20.428616799634472,22.655294802991214
10,31,32,1,1,62006,27.823988067451864,28.25141427767593,30.56113627878949,26.707216382026672,19.647139479341085,47.89855375701702
10,32,32,0,1,62006,2.2573964742477983,2.503371380022145,10.147779701277614,1.8659493327140808,20.22163413731808,22.725005517340225
10,32,32,1,1,62006,28.84875813522376,29.38366959722771,32.43913088366389,26.64716780837626,19.700097938630886,49.08376753585859
10,33,32,0,1,62006,12.740723724011332,13.227722814254877,20.224554245360196,12.264978969004005,20.04460905114132,33.2723318653962
10,33,32,1,1,62006,29.730515452101827,30.1881470293785,32.53949129395187,27.817090407013893,19.660363784577285,49.848510813955784
10,34,32,0,1,62006,13.678846867522225,14.2092040191158,20.775716999545693,13.127340799663216,19.8186536782339,34.0278576973497
10,34,32,1,1,62006,31.22326754964888,31.286260568737692,33.52026586746797,29.69590168632567,19.99611333466829,51.28237390340598
10,36,32,0,1,62006,15.15113961067982,15.828872462165439,21.290579434949905,14.251131750177592,19.38248659506078,35.21135905722622
10,36,32,1,1,62006,33.91059454041533,34.110102663562564,36.13670761836693,31.972939603030675,20.394614868400687,54.50471753196325
10,40,32,0,1,62006,20.815848189871755,21.191103650291915,26.256893737241626,18.363905585370958,19.005955456911277,40.197059107203195
10,40,32,1,1,62006,35.75631142756902,35.841590750485196,38.28884483501315,33.62681068573147,21.10003638275278,56.94162713323797
10,48,32,0,1,62006,23.151043778285384,23.433960346107295,26.307956931181252,21.946087175980217,18.728443919118337,42.16240426522563
10,48,32,1,1,62006,46.91005519567989,48.53361810830797,56.951804297976196,41.74626870825887,23.407663019904348,71.94128112821232
10,64,32,0,1,62006,22.02916501672007,22.039655896172917,22.601315196603537,21.6937880278565,18.758942523675312,40.798598419848226
10,64,32,1,1,62006,63.55387650197372,63.60025346885717,65.57407283876091,62.35520245041698,24.704889617338875,88.30514308619604
