epochs,num_clients,batch_size,sgx,ssl,median,mean,max,min,train_test_time,fl_time
5,2,32,0,1,3.638234053272754,3.6929549149548015,3.974463541060686,3.5643940353766084,45.60556717973668,49.298522094691485
5,2,32,1,1,5.017593226162717,5.036405194434336,5.470542948693037,4.846397623419762,45.76638631049233,50.80279150492667
5,4,32,0,1,2.571973563637588,2.6770844257941158,3.4075878923758864,2.2444321624934673,38.333451066340785,41.0105354921349
5,4,32,1,1,4.371124797966331,4.56967447451704,5.448087722528726,3.9389522951096296,37.370801686988365,41.94047616150541
5,8,32,0,1,1.673413603333758,1.6852761922442978,2.1889670975506306,1.3574180100113153,19.365556595585076,21.050832787829375
5,8,32,1,1,4.948846989078449,4.955313842103351,5.542822424788028,4.387779540382326,18.74526692965689,23.70058077176024
5,16,32,0,1,1.3501880818512282,1.3647496393435479,1.6637226948514598,1.129515132866798,9.801944037618037,11.166693676961586
5,16,32,1,1,7.063050340628251,7.0843340869663125,7.744074183516204,6.434535584412515,9.347833248815732,16.432167335782044
5,32,32,0,1,1.2124688373878598,1.2162318147845024,1.3975342847406864,0.9809001940302551,5.006057800463168,6.2222896152476705
5,32,32,1,1,11.639545181533322,11.64432559543881,12.960465457290411,10.668988266028464,4.867786225222517,16.512111820661328
5,64,32,0,1,4.687556558754295,4.68185975401381,5.171725292690098,4.104729314334691,2.3662747124108137,7.0481344664246235
5,64,32,1,1,16.6883328021504,16.69034421514031,17.407135049812496,15.837292287033051,2.952013468760318,19.642357683900627
5,126,32,0,1,6.669159392360598,6.7256217540701275,10.582690954208374,6.3388642515055835,1.4140867286173269,8.139708482687455
